,File,Piece Color,Piece Type,Position,ID
0,f7658021349.jpg,BLUE,KNIGHT,A1,13-LOwvKv3p78HUY6GBzZpylJBa2pK6RM
1,f1542380976.jpg,BLUE,PAWN,A2,1uYNUl6u5Ry8ExBcIdxSVqdPze9noYe1u
2,f2964851307.jpg,ORANGE,PAWN,A3,1c1q5oxsb5yO5GTaptGc6pALKu07EWg1B
3,f1207395864.jpg,,,A4,1Z9ly7OsFWI9FiAXCjtC0vl6_xM6QG4sm
4,f6570124398.jpg,,,A5,1KPCKmTHHQHvabvxc6qhfedOBbkZ3SS8m
5,f8502643917.jpg,,,A6,1zyfjCACqNdA1ogduw15IRqnF8ohSdW3R
6,f0492138765.jpg,,,A7,1vSOPBb1xS79tsqf6ntiPjFTD_a6bP7wQ
7,f5834261097.jpg,,,A8,1Aejsx09LqNZe1gFCotG8Ck64W_uwn0yp
8,f0612958734.jpg,,,B1,1sutiWM7JcBOG4Y1oD6WrseHFHkSlzxND
9,f3902618547.jpg,,,B2,14VeySNsf5Mzzp0bMY3kQTW3jFGCV6Vdm
10,f5284631907.jpg,,,B3,1M79RXDqkmAxV0cagMDmRZrwg5WFqspln
11,f3602184795.jpg,,,B4,1MmJpkK2zH7gID9p8_eXH8rtNdD6R6RYP
12,f9640187532.jpg,,,B5,1i1aLzwP-Y6P2O8we_KJhKyOPDlszjOEP
13,f2043815697.jpg,,,B6,1TXatry02ogJpi2nfvE3wHfEFmr-ahU7E
14,f9508143762.jpg,,,B7,1Ic2tLoz_tcpCy0ouRrChAkHfDpOd4uhq
15,f3916852704.jpg,,,B8,1ADYDf1pBAP7PX9ecXMZAN_d27cqxy-wq
16,f1358942607.jpg,,,C1,1ybV_GTb4o5ZYVqq5utqfsCXTvn4DsLMb
17,f2894517036.jpg,,,C2,1Jk0FxCFXgTRTgxZhRkCu5vX0bEH-IbDo
18,f0512798634.jpg,,,C3,1h1lJE3uCaYGExUggVubrZkIwonYMVDQf
